Identifier	Change_name	Change_type	Species	Gender	Age_start	Age_end	Description	Tissues	Gene	Properties	Type_of_data	Process_measured	Sample_size	Method_of_collection	Data_transforms	Percentage_change	P_value	Coefficiant	Intercept	Relationship_parent_identifiers	References
DAA3519	Gene expression of P4HA2 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in P4HA2 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	P4HA2 (prolyl 4-hydroxylase, alpha polypeptide II)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA2853	Gene expression of P4HA2 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in P4HA2 in the adipose tissue. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. Subcutaneous adipose tissue was dissected from the biopsy site. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch, and random effects as family relationship and zygosity. 	Adipose Tissue	P4HA2 (prolyl 4-hydroxylase, alpha polypeptide II)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3479	Gene expression of PABPN1 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PABPN1 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PABPN1 (poly(A) binding protein, nuclear 1)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3874	Gene expression of PADI3 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PADI3 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PADI3 (peptidyl arginine deiminase, type III)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3739	Gene expression of PADI4 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PADI4 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PADI4 (peptidyl arginine deiminase, type IV)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3304	Gene expression of PAFAH2 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PAFAH2 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PAFAH2 (platelet-activating factor acetylhydrolase 2, 40kDa)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3994	Gene expression of PAK6 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PAK6 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PAK6 (p21 protein (Cdc42/Rac)-activated kinase 6)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4008	Gene expression of PAK7 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PAK7 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PAK7 (p21 protein (Cdc42/Rac)-activated kinase 7)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3584	Gene expression of PAN2 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PAN2 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PAN2 (PAN2 poly(A) specific ribonuclease subunit)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3884	Gene expression of PANK1 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PANK1 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PANK1 (pantothenate kinase 1)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3990	Gene expression of PANX2 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PANX2 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PANX2 (pannexin 2)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4231	Gene expression of PAPLN increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PAPLN in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PAPLN (papilin, proteoglycan-like sulfated glycoprotein)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4145	Gene expression of PAQR6 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PAQR6 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PAQR6 (progestin and adipoQ receptor family member VI)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3898	Gene expression of PARP14 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PARP14 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PARP14 (poly (ADP-ribose) polymerase family, member 14)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3592	Gene expression of PARP2 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PARP2 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PARP2 (poly (ADP-ribose) polymerase 2)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3810	Gene expression of PARVB decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PARVB in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PARVB (parvin, beta)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4269	Gene expression of PAXBP1 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PAXBP1 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PAXBP1 (PAX3 and PAX7 binding protein 1)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3307	Gene expression of PCBD1 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCBD1 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCBD1 (pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4186	Gene expression of PCBD2 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCBD2 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCBD2 (pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3308	Gene expression of PCCB decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCCB in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCCB (propionyl CoA carboxylase, beta polypeptide)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3306	Gene expression of PC decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PC in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PC (pyruvate carboxylase)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3309	Gene expression of PCDH7 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCDH7 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCDH7 (protocadherin 7)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3870	Gene expression of PCF11 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCF11 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCF11 (PCF11 cleavage and polyadenylation factor subunit)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3311	Gene expression of PCK2 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCK2 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCK2 (phosphoenolpyruvate carboxykinase 2 (mitochondrial))			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3312	Gene expression of PCM1 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCM1 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCM1 (pericentriolar material 1)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4070	Gene expression of PCNXL4 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCNXL4 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCNXL4 (pecanex-like 4 (Drosophila))			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3313	Gene expression of PCP4 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCP4 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCP4 (Purkinje cell protein 4)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4043	Gene expression of PCTP decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCTP in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PCTP (phosphatidylcholine transfer protein)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA2892	Gene expression of PCYOX1 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PCYOX1 in the adipose tissue. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. Subcutaneous adipose tissue was dissected from the biopsy site. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch, and random effects as family relationship and zygosity. 	Adipose Tissue	PCYOX1 (prenylcysteine oxidase 1)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA2822	Gene expression of PDE1B decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PDE1B in the adipose tissue. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. Subcutaneous adipose tissue was dissected from the biopsy site. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch, and random effects as family relationship and zygosity. 	Adipose Tissue	PDE1B (phosphodiesterase 1B, calmodulin-dependent)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA2821	Gene expression of PDE4B increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PDE4B in the adipose tissue. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. Subcutaneous adipose tissue was dissected from the biopsy site. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch, and random effects as family relationship and zygosity. 	Adipose Tissue	PDE4B (phosphodiesterase 4B, cAMP-specific)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3314	Gene expression of PDE4C increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PDE4C in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PDE4C (phosphodiesterase 4C, cAMP-specific)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3981	Gene expression of PDGFC increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PDGFC in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PDGFC (platelet derived growth factor C)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3315	Gene expression of PDGFRL decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PDGFRL in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PDGFRL (platelet-derived growth factor receptor-like)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3316	Gene expression of PDHB decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PDHB in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PDHB (pyruvate dehydrogenase (lipoamide) beta)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3632	Gene expression of PDPN decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PDPN in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PDPN (podoplanin)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3966	Gene expression of PECR decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PECR in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PECR (peroxisomal trans-2-enoyl-CoA reductase)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3317	Gene expression of PEPD decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PEPD in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PEPD (peptidase D)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA2851	Gene expression of PER3 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PER3 in the adipose tissue. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. Subcutaneous adipose tissue was dissected from the biopsy site. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch, and random effects as family relationship and zygosity. 	Adipose Tissue	PER3 (period circadian clock 3)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3505	Gene expression of PEX11A decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PEX11A in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PEX11A (peroxisomal biogenesis factor 11 alpha)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3504	Gene expression of PEX11B increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PEX11B in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PEX11B (peroxisomal biogenesis factor 11 beta)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3543	Gene expression of PEX16 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PEX16 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PEX16 (peroxisomal biogenesis factor 16)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3318	Gene expression of PFKFB4 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PFKFB4 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PFKFB4 (6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4381	Gene expression of PGAM5 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PGAM5 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PGAM5 (phosphoglycerate mutase family member 5)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4123	Gene expression of PGBD5 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PGBD5 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PGBD5 (piggyBac transposable element derived 5)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3753	Gene expression of PGLS decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PGLS in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PGLS (6-phosphogluconolactonase)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3319	Gene expression of PGM1 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PGM1 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PGM1 (phosphoglucomutase 1)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA2824	Gene expression of PGM3 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PGM3 in the adipose tissue. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. Subcutaneous adipose tissue was dissected from the biopsy site. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch, and random effects as family relationship and zygosity. 	Adipose Tissue	PGM3 (phosphoglucomutase 3)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4419	Gene expression of PGP decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PGP in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PGP (phosphoglycolate phosphatase)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA3647	Gene expression of PGRMC1 decreases with age	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PGRMC1 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PGRMC1 (progesterone receptor membrane component 1)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA2945	Gene expression of PHACTR3 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PHACTR3 in the adipose tissue. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. Subcutaneous adipose tissue was dissected from the biopsy site. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch, and random effects as family relationship and zygosity. 	Adipose Tissue	PHACTR3 (phosphatase and actin regulator 3)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
DAA4030	Gene expression of PHF12 increases with age 	molecular	Homo sapiens	female	39	85	Using a linear mixed model, differential expression with age was identified in PHF12 in skin. Biopsies were taken from relatively photo-protected infra-umbilical skin of female twins. The linear mixed model was used to examine gene expression variability by age and confounding factors including fixed effect batch and RNA concentration, and random effects as family relationship and zygosity. 	Skin	PHF12 (PHD finger protein 12)			Gene Expression Level									3454: Glass, D et al. (2013) "Gene expression changes with age in skin, adipose tissue, blood and brain."  Genome Biol. 14(7):R75 (23889843)
